epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4864,1.30697,5.71225,1.11747,0.07529,0.31818,0.12914,0.11527,1.1581,4.83836,1.3452,0.000362927,0.000362927,0.000362927
2,69.9712,1.1976,3.75082,1.04655,0.76213,0.06818,0.01095,0.00715,1.2252,4.31348,1.36818,0.000660667,0.000660667,0.000660667
3,103.872,1.27933,3.31549,1.21083,0.2863,0.08103,0.03262,0.01786,1.48096,3.71681,1.50387,0.000885082,0.000885082,0.000885082
4,137.729,1.0985,3.12658,1.05819,0.02007,0.35909,0.06096,0.03177,1.4899,3.53926,1.50675,0.000781033,0.000781033,0.000781033
5,171.495,1.07883,2.90453,0.99347,0.02384,0.41023,0.05643,0.02599,1.36516,3.70707,1.48805,0.000671044,0.000671044,0.000671044
6,205.207,1.01095,2.73753,0.8871,0.28186,0.19091,0.04481,0.02447,1.4385,3.76379,1.5682,0.000561055,0.000561055,0.000561055
7,238.734,1.06009,2.81058,0.99633,0.53204,0.06136,0.04504,0.02476,1.35519,3.56119,1.52945,0.000451066,0.000451066,0.000451066
8,271.848,1.16775,2.79498,1.07856,0.5421,0.06136,0.04724,0.02567,1.31648,3.51,1.5033,0.000341077,0.000341077,0.000341077
9,305.535,1.09459,2.53704,1.03454,0.561,0.08409,0.05753,0.02991,1.33912,3.47234,1.51104,0.000231088,0.000231088,0.000231088
10,355.006,0.98239,2.46563,0.97895,0.55675,0.08409,0.04916,0.0287,1.29386,3.52072,1.5301,0.000121099,0.000121099,0.000121099
