epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.18126,1.60662,8.87927,1.21938,0,0,0,0,0.6392,8.19828,1.17112,3e-05,3e-05,3e-05
2,10.1808,0.65957,11.6075,0.86514,0,0,0,0,0.68448,8.15272,1.18346,6.307e-05,6.307e-05,6.307e-05
3,14.4198,1.16378,6.86016,1.07971,0,0,0,0,0.70038,8.09453,1.18417,8.822e-05,8.822e-05,8.822e-05
4,18.5073,1.04059,7.61896,0.96284,0,0,0,0,0.80817,8.18962,1.20429,0.00010545,0.00010545,0.00010545
5,22.6829,1.20221,5.42517,1.21959,0,0,0,0,0.88356,8.35154,1.22109,0.00011476,0.00011476,0.00011476
6,26.4714,0.91839,5.76466,1.08965,0,0,0,0,0.9533,8.49985,1.23608,0.00011615,0.00011615,0.00011615
7,30.597,1.16931,11.417,1.05567,0,0,0,0,0.9533,8.49985,1.23608,0.00010962,0.00010962,0.00010962
8,36.7243,1.31642,9.61759,1.11166,0,0,0,0,0.99502,8.59853,1.2476,9.517e-05,9.517e-05,9.517e-05
9,47.4121,1.19914,7.24302,1.09016,0,0,0,0,1.0338,8.71616,1.25883,7.28e-05,7.28e-05,7.28e-05
10,57.7381,1.4031,19.6943,1.05148,0,0,0,0,1.0338,8.71616,1.25883,4.251e-05,4.251e-05,4.251e-05
